,solar,volcanic
2227.5,-0.024893657,0
2228.5,-0.034698913,0
2229.5,-0.024208043,0
2230.5,0.000902275,0
2231.5,0.017584644,0
2232.5,0.02157986,0
2233.5,0.031169677,0
2234.5,0.01921715,0
2235.5,0.008657434,0
2236.5,-0.014811065,0
2237.5,-0.024149017,0
2238.5,-0.030125153,0
2239.5,-0.02873529,0
2240.5,-0.016102588,0
2241.5,0.014661437,0
2242.5,0.042167065,0
2243.5,0.045793068,0
2244.5,0.042077623,0
2245.5,0.021541423,0
2246.5,0.000414939,0
2247.5,-0.008546764,0
2248.5,-0.022764806,0
2249.5,-0.031487704,0
2250.5,-0.038069057,0
2251.5,-0.03892243,0
2252.5,-0.029032277,0
2253.5,-0.008313995,0
2254.5,0.015356496,0
2255.5,0.019195394,0
2256.5,0.025178864,0
2257.5,0.020879659,0
2258.5,0.005358957,0
2259.5,-0.005587184,0
2260.5,-0.02679662,0
2261.5,-0.037101607,0
2262.5,-0.036407872,0
2263.5,-0.032308252,0
2264.5,-0.011133674,0
2265.5,0.018688183,0
2266.5,0.041364596,0
2267.5,0.062673244,0
2268.5,0.039602415,0
2269.5,0.021866001,0
2270.5,-0.00182928,0
2271.5,-0.016102962,0
2272.5,-0.029706214,0
2273.5,-0.029890375,0
2274.5,-0.013655422,0
2275.5,0.009887786,0
2276.5,0.026956776,0
2277.5,0.026558016,0
2278.5,0.022914702,0
2279.5,0.010099056,0
2280.5,-0.0129118,0
2281.5,-0.02495046,0
2282.5,-0.029586527,0
2283.5,-0.031954909,0
2284.5,-0.020432731,0
2285.5,0.007917538,0
2286.5,0.037815954,0
2287.5,0.047699887,0
2288.5,0.046819903,0
2289.5,0.012925882,0
2290.5,0.005073573,0
2291.5,-0.013097263,0
2292.5,-0.028444783,0
2293.5,-0.037056002,0
2294.5,-0.030423573,0
2295.5,-0.004252158,0
2296.5,0.019050433,0
2297.5,0.044083629,0
2298.5,0.04473163,0
2299.5,0.025648737,0
2300.5,0,0
2301.5,0,0
2302.5,0,0
2303.5,0,0
2304.5,0,0
2305.5,0,0
2306.5,0,0
2307.5,0,0
2308.5,0,0
2309.5,0,0
2310.5,0,0
2311.5,0,0
2312.5,0,0
2313.5,0,0
2314.5,0,0
2315.5,0,0
2316.5,0,0
2317.5,0,0
2318.5,0,0
2319.5,0,0
2320.5,0,0
2321.5,0,0
2322.5,0,0
2323.5,0,0
2324.5,0,0
2325.5,0,0
2326.5,0,0
2327.5,0,0
2328.5,0,0
2329.5,0,0
2330.5,0,0
2331.5,0,0
2332.5,0,0
2333.5,0,0
2334.5,0,0
2335.5,0,0
2336.5,0,0
2337.5,0,0
2338.5,0,0
2339.5,0,0
2340.5,0,0
2341.5,0,0
2342.5,0,0
2343.5,0,0
2344.5,0,0
2345.5,0,0
2346.5,0,0
