"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2021","2022","2023","2024","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.0","SSP4-45","World","Emissions|BC","Mt BC/yr","",8.3348,7.664,"",7.415,"","","","","",6.795,"",6.3611,"",5.7636,"",5.138999999999999,"",4.6787,"",4.3341,"",4.0598,"",3.8227
"AIM/CGE 2.0","SSP4-45","World","Emissions|VOC","Mt VOC/yr","",210.2173,203.4982,"",204.2083,"","","","","",198.7764,"",193.37400000000002,"",187.5364,"",178.2077,"",169.3015,"",161.1337,"",153.5441,"",146.3476
"AIM/CGE 2.0","SSP4-45","World","Emissions|CH4","Mt CH4/yr","",350.2723,372.652,"",419.1605,"","","","","",377.9475,"",390.6691,"",338.8198,"",283.9609,"",251.7072,"",236.5038,"",226.4148,"",218.9952
"AIM/CGE 2.0","SSP4-Baseline","World","Emissions|OC","Mt OC/yr","",38.0662,36.5362,"",35.6792,"","","","","",34.5636,"",33.3392,"",31.6596,"",29.9043,"",28.4035,"",27.081999999999997,"",25.9555,"",24.8768
"AIM/CGE 2.0","SSP4-Baseline","World","Emissions|CO","Mt CO/yr","",950.7368,899.2149,"",885.7864,"","","","","",858.2598,"",838.8088,"",804.0669,"",763.6891,"",728.6215,"",698.1208,"",672.982,"",650.1253
"AIM/CGE 2.0","SSP4-Baseline","World","Emissions|N2O","kt N2O/yr","",8950.4279,9595.1405,"",10943.3451,"","","","","",12174.2428,"",13114.0339,"",13768.7519,"",14223.3652,"",14560.6489,"",14811.6644,"",14975.6468,"",15066.8493
"AIM/CGE 2.0","SSP4-Baseline","World","Emissions|CO2|Energy and Industrial Processes","Mt CO2/yr","",29596.0838,32324.1038,"",39107.4381,"","","","","",44890.53,"",46716.5768,"",44294.7511,"",40810.5828,"",38129.2208,"",37034.5292,"",36536.0675,"",35812.3362
"AIM/CGE 2.0","SSP4-Baseline","World","Emissions|NH3","Mt NH3/yr","",52.6096,54.1702,"",57.0048,"","","","","",59.4221,"",61.0941,"",61.6743,"",61.413999999999994,"",60.6715,"",59.6281,"",58.6186,"",57.4884
"AIM/CGE 2.0","SSP4-Baseline","World","Emissions|NOx","Mt NO2/yr","",123.3375,114.993,"",118.6466,"","","","","",114.8311,"",107.1828,"",95.2895,"",83.1517,"",73.801,"",67.2391,"",62.1262,"",57.5938
"AIM/CGE 2.0","SSP4-Baseline","World","Emissions|Sulfur","Mt SO2/yr","",119.3537,99.5325,"",99.1902,"","","","","",89.9861,"",78.7729,"",68.2096,"",57.1405,"",47.8658,"",40.4659,"",34.2763,"",28.7823
"AIM/CGE 2.0","SSP4-Baseline","World","Emissions|BC","Mt BC/yr","",8.3348,7.665,"",7.4205,"","","","","",6.9409,"",6.4989,"",5.9028,"",5.3311,"",4.8845,"",4.5449,"",4.2824,"",4.0393
"AIM/CGE 2.0","SSP4-Baseline","World","Emissions|VOC","Mt VOC/yr","",210.2173,203.5366,"",204.4018,"","","","","",202.1342,"",196.9481,"",192.6,"",184.9772,"",176.9477,"",169.011,"",161.7056,"",154.5219
"AIM/CGE 2.0","SSP4-Baseline","World","Emissions|CH4","Mt CH4/yr","",350.2723,372.7274,"",419.5304,"","","","","",460.7285,"",490.5842,"",511.972,"",528.1619,"",537.0714,"",541.3339,"",542.8659,"",541.8876
"AIM/CGE 2.1","CD-LINKS_INDC2030i_1600","World","Emissions|N2O","kt N2O/yr","",9297.3403,9974.0171,10438.8337,10956.5994,"","","","",11128.9569,11337.7883,10130.9444,9985.0811,10258.3763,10590.3853,10787.7028,10960.1598,11148.695,11398.5805,11618.5096,11814.9716,11978.4081,12086.7817,12168.5149,12201.8796
"AIM/CGE 2.1","CD-LINKS_INDC2030i_1600","World","Emissions|CO2|Energy and Industrial Processes","Mt CO2/yr","",28298.442000000014,30537.4362,33002.7764,35889.7743,"","","","",35314.263,33976.0175,24604.6182,19305.4253,16483.0805,15868.7853,13701.4287,10979.346000000001,9025.4581,9366.8591,9657.8007,10056.9158,10342.7894,9802.4758,9146.5013,7558.1659
"AIM/CGE 2.1","CD-LINKS_INDC2030i_1600","World","Emissions|Sulfur","Mt SO2/yr","",124.5568,115.9363,113.6141,105.5205,"","","","",98.6528,94.2012,52.538000000000004,39.2128,27.6429,22.7077,21.5775,20.4821,19.9823,20.0682,20.0139,19.9912,19.8353,19.5077,19.1258,18.6971
"AIM/CGE 2.1","CD-LINKS_INDC2030i_1600","World","Emissions|BC","Mt BC/yr","",9.1717,9.8494,9.9234,9.7554,"","","","",9.4019,9.1286,7.9013,7.1408,6.4897,6.0596,5.6883,5.3656,5.0925,4.8784,4.6482,4.4414,4.2159,4.0159,3.792,3.6297
"AIM/CGE 2.1","CD-LINKS_INDC2030i_1600","World","Emissions|CH4","Mt CH4/yr","",344.031,365.6954,378.0418,392.5341,"","","","",394.4938,391.6994,271.1138,251.1396,253.6761,260.8958,267.4811,271.6656,275.6061,282.4827,288.5817,294.1299,298.7034,301.3429,303.0859,303.1798
"AIM/CGE 2.1","CD-LINKS_INDCi","World","Emissions|N2O","kt N2O/yr","",9297.3403,9974.6678,10528.2796,10884.6168,"","","","",10425.6519,10277.1258,10763.4467,11277.4456,11812.9328,12341.9326,12740.7065,13174.2758,13579.9793,13928.798,14236.265,14567.8586,14870.8952,15116.0328,15300.8399,15316.456
"AIM/CGE 2.1","CD-LINKS_INDCi","World","Emissions|CO2|Energy and Industrial Processes","Mt CO2/yr","",28298.442000000014,30537.5872,33156.1194,36051.7491,"","","","",35778.2104,34518.12,35913.3052,37274.9495,38253.708,38918.4334,39562.9615,40950.2146,42472.8425,43648.6988,44830.3746,46225.3162,47717.9997,49293.7956,50737.1866,51572.0925
"AIM/CGE 2.1","CD-LINKS_INDCi","World","Emissions|Sulfur","Mt SO2/yr","",124.5568,115.9363,113.6141,105.5546,"","","","",98.9973,94.6418,81.3534,71.1388,53.6408,43.8713,43.791000000000004,44.2551,44.4488,44.3052,43.9389,43.5982,42.6809,41.7339,40.0069,37.5423
"AIM/CGE 2.1","CD-LINKS_INDCi","World","Emissions|BC","Mt BC/yr","",9.1717,9.8494,9.9234,9.7533,"","","","",9.415,9.1448,8.5666,8.0255,7.176,6.5264,6.1484,5.8733,5.5779999999999985,5.2921,4.9822,4.7119,4.4204,4.1897,3.8973,3.6799
"AIM/CGE 2.1","CD-LINKS_INDCi","World","Emissions|CH4","Mt CH4/yr","",344.031,365.711,380.0395,392.2932,"","","","",384.8471,377.3771,389.0582,400.8552,413.3627,426.1681,440.8236,455.7842,469.4754,481.5158,492.0369,503.7297,514.2473,521.8596,527.6001,527.5377
"AIM/CGE 2.1","CD-LINKS_NDC2030i_1000","World","Emissions|N2O","kt N2O/yr","",9297.3403,9974.0171,10438.8337,10956.5994,"","","","",11128.9569,11337.7883,10113.2016,9972.2389,9717.0347,9973.1165,10265.286,10424.6095,10446.8682,10714.7688,10975.0256,11195.8324,11382.0324,11515.6972,11582.4486,11578.8146
"AIM/CGE 2.1","CD-LINKS_NDC2030i_1000","World","Emissions|CO2|Energy and Industrial Processes","Mt CO2/yr","",28298.442000000014,30537.4362,33002.7764,35889.7743,"","","","",35314.263,33976.0175,24370.1074,18778.4142,10001.6566,7005.1388,4392.9318,2480.0918,220.9056,217.2793,442.3867,509.5476,568.2751,355.3094,-55.4186,-711.4037
"AIM/CGE 2.1","CD-LINKS_NDC2030i_1000","World","Emissions|Sulfur","Mt SO2/yr","",124.5568,115.9363,113.6141,105.5205,"","","","",98.6528,94.2012,52.181000000000004,38.5612,23.2272,18.836,18.2129,17.65,16.7473,16.9519,17.1816,17.358,17.4476,17.4383,17.2085,16.9038
"AIM/CGE 2.1","CD-LINKS_NDC2030i_1000","World","Emissions|BC","Mt BC/yr","",9.1717,9.8494,9.9234,9.7554,"","","","",9.4019,9.1286,7.8852,7.1181,6.1587,5.7404,5.422999999999999,5.1547,4.8997,4.7115,4.516999999999999,4.3339,4.141999999999999,3.971,3.7777,3.637
"AIM/CGE 2.1","CD-LINKS_NDC2030i_1000","World","Emissions|CH4","Mt CH4/yr","",344.031,365.6954,378.0418,392.5341,"","","","",394.4938,391.6994,270.1936,250.453,228.8101,234.41099999999997,245.9831,250.1613,248.31900000000002,256.20099999999996,263.9214,270.4765,275.8657,279.6934,281.251,280.5249
"AIM/CGE 2.1","CD-LINKS_NPi2020_1000","World","Emissions|N2O","kt N2O/yr","",9297.3403,9967.1501,10439.0943,10711.167,"","","","",7537.9384,6471.505,5932.5512,6237.4578,6961.9148,7600.6367,7635.9541,7682.3279,7606.4883,7833.8274,8055.3517,8260.5347,8413.7744,8502.9486,8554.8953,8520.6307
